"Pathway ID","Pathway Name","KEGG ID"
"89","Glycosphingolipid biosynthesis - ganglio series","map00604"
"90","Pyruvate metabolism","map00620"
"91","Dioxin degradation","map00621"
"92","Xylene degradation","map00622"
"93","Toluene degradation","map00623"
"94","Polycyclic aromatic hydrocarbon degradation","map00624"
"95","Chloroalkane and chloroalkene degradation","map00625"
"96","Naphthalene degradation","map00626"
"97","Aminobenzoate degradation","map00627"
"98","Glyoxylate and dicarboxylate metabolism","map00630"
"99","Nitrotoluene degradation","map00633"
"100","Propanoate metabolism","map00640"
"101","Ethylbenzene degradation","map00642"
"102","Styrene degradation","map00643"
"103","Butanoate metabolism","map00650"
"104","C5-Branched dibasic acid metabolism","map00660"
"105","One carbon pool by folate","map00670"
"106","Methane metabolism","map00680"
"107","Carbon fixation in photosynthetic organisms","map00710"
"108","Carbon fixation pathways in prokaryotes","map00720"
"109","Thiamine metabolism","map00730"
"110","Riboflavin metabolism","map00740"
"111","Vitamin B6 metabolism","map00750"
"112","Nicotinate and nicotinamide metabolism","map00760"
"113","Pantothenate and CoA biosynthesis","map00770"
"114","Biotin metabolism","map00780"
"115","Lipoic acid metabolism","map00785"
"116","Folate biosynthesis","map00790"
"117","Atrazine degradation","map00791"
"118","Retinol metabolism","map00830"
"119","Porphyrin and chlorophyll metabolism","map00860"
"120","Terpenoid backbone biosynthesis","map00900"
"121","Indole alkaloid biosynthesis","map00901"
"122","Monoterpenoid biosynthesis","map00902"
"123","Limonene and pinene degradation","map00903"
"124","Diterpenoid biosynthesis","map00904"
"125","Brassinosteroid biosynthesis","map00905"
"126","Carotenoid biosynthesis","map00906"
"127","Zeatin biosynthesis","map00908"
"128","Sesquiterpenoid and triterpenoid biosynthesis","map00909"
"129","Nitrogen metabolism","map00910"
"130","Sulfur metabolism","map00920"
"131","Caprolactam degradation","map00930"
"132","Phenylpropanoid biosynthesis","map00940"
"133","Flavonoid biosynthesis","map00941"
"134","Anthocyanin biosynthesis","map00942"
"135","Isoflavonoid biosynthesis","map00943"
"136","Flavone and flavonol biosynthesis","map00944"
"137","Stilbenoid, diarylheptanoid and gingerol biosynthesis","map00945"
"138","Isoquinoline alkaloid biosynthesis","map00950"
"139","Tropane, piperidine and pyridine alkaloid biosynthesis","map00960"
"140","Betalain biosynthesis","map00965"
"141","Glucosinolate biosynthesis","map00966"
"142","Aminoacyl-tRNA biosynthesis","map00970"
"143","Metabolism of xenobiotics by cytochrome P450","map00980"
"144","Insect hormone biosynthesis","map00981"
"145","Drug metabolism - cytochrome P450","map00982"
"146","Drug metabolism - other enzymes","map00983"
"147","Steroid degradation","map00984"
"148","Overview of biosynthetic pathways","map01010"
"149","Biosynthesis of unsaturated fatty acids","map01040"
"150","Biosynthesis of ansamycins","map01051"
"151","Type I polyketide structures","map01052"
"152","Biosynthesis of siderophore group nonribosomal peptides","map01053"
"153","Nonribosomal peptide structures","map01054"
"154","Biosynthesis of vancomycin group antibiotics","map01055"
"155","Biosynthesis of type II polyketide backbone","map01056"
"156","Biosynthesis of type II polyketide products","map01057"
"157","Acridone alkaloid biosynthesis","map01058"
"158","Biosynthesis of plant secondary metabolites","map01060"
"159","Biosynthesis of phenylpropanoids","map01061"
"160","Biosynthesis of terpenoids and steroids","map01062"
"161","Biosynthesis of alkaloids derived from shikimate pathway","map01063"
"162","Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid","map01064"
"163","Biosynthesis of alkaloids derived from histidine and purine","map01065"
"164","Biosynthesis of alkaloids derived from terpenoid and polyketide","map01066"
"165","Biosynthesis of plant hormones","map01070"
"166","Metabolic pathways","map01100"
"167","Biosynthesis of secondary metabolites","map01110"
"168","Microbial metabolism in diverse environments","map01120"
"169","Carbon metabolism","map01200"
"170","2-Oxocarboxylic acid metabolism","map01210"
"171","Fatty acid metabolism","map01212"
"172","Degradation of aromatic compounds","map01220"
"173","Biosynthesis of amino acids","map01230"
"174","beta-Lactam resistance","map01501"
"175","Vancomycin resistance","map01502"
"176","ABC transporters","map02010"
"177","Two-component system","map02020"
"178","Bacterial chemotaxis","map02030"
"179","Flagellar assembly","map02040"
"180","Phosphotransferase system (PTS)","map02060"
"181","Ribosome biogenesis in eukaryotes","map03008"
"182","Ribosome","map03010"
"183","RNA transport","map03013"
"184","mRNA surveillance pathway","map03015"
"185","RNA degradation","map03018"
"186","RNA polymerase","map03020"
"187","Basal transcription factors","map03022"
"188","DNA replication","map03030"
"189","Spliceosome","map03040"
"190","Proteasome","map03050"
"191","Protein export","map03060"
"192","Bacterial secretion system","map03070"
"193","PPAR signaling pathway","map03320"
"194","Base excision repair","map03410"
"195","Nucleotide excision repair","map03420"
"196","Mismatch repair","map03430"
"197","Homologous recombination","map03440"
"198","Non-homologous end-joining","map03450"
"199","Fanconi anemia pathway","map03460"
"200","MAPK signaling pathway","map04010"
"201","MAPK signaling pathway - yeast","map04011"
"202","ErbB signaling pathway","map04012"
"203","MAPK signaling pathway - fly","map04013"
"204","Ras signaling pathway","map04014"
"205","Rap1 signaling pathway","map04015"
"206","Calcium signaling pathway","map04020"
"207","cGMP-PKG signaling pathway","map04022"
"208","cAMP signaling pathway","map04024"
"209","Cytokine-cytokine receptor interaction","map04060"
"210","Chemokine signaling pathway","map04062"
"211","NF-kappa B signaling pathway","map04064"
"212","HIF-1 signaling pathway","map04066"
"213","FoxO signaling pathway","map04068"
"214","Phosphatidylinositol signaling system","map04070"
"215","Sphingolipid signaling pathway","map04071"
"216","Plant hormone signal transduction","map04075"
"217","Neuroactive ligand-receptor interaction","map04080"
"218","Cell cycle","map04110"
"219","Cell cycle - yeast","map04111"
"220","Cell cycle - Caulobacter","map04112"
"221","Meiosis - yeast","map04113"
"222","Oocyte meiosis","map04114"
"223","p53 signaling pathway","map04115"
"224","Ubiquitin mediated proteolysis","map04120"
"225","Sulfur relay system","map04122"
"226","SNARE interactions in vesicular transport","map04130"
"227","Regulation of autophagy","map04140"
"228","Protein processing in endoplasmic reticulum","map04141"
"229","Lysosome","map04142"
"230","Endocytosis","map04144"
"231","Phagosome","map04145"
"232","Peroxisome","map04146"
"233","mTOR signaling pathway","map04150"
"234","PI3K-Akt signaling pathway","map04151"
"235","AMPK signaling pathway","map04152"
"236","Apoptosis","map04210"
"237","Cardiac muscle contraction","map04260"
"238","Adrenergic signaling in cardiomyocytes","map04261"
"239","Vascular smooth muscle contraction","map04270"
"240","Wnt signaling pathway","map04310"
"241","Dorso-ventral axis formation","map04320"
"242","Notch signaling pathway","map04330"
"243","Hedgehog signaling pathway","map04340"
"244","TGF-beta signaling pathway","map04350"
"245","Axon guidance","map04360"
"246","VEGF signaling pathway","map04370"
"247","Osteoclast differentiation","map04380"
"248","Hippo signaling pathway","map04390"
"249","Hippo signaling pathway - fly","map04391"
"250","Focal adhesion","map04510"
"251","ECM-receptor interaction","map04512"
"252","Cell adhesion molecules (CAMs)","map04514"
"253","Adherens junction","map04520"
"254","Tight junction","map04530"
"255","Gap junction","map04540"
"256","Signaling pathways regulating pluripotency of stem cells","map04550"
"257","Complement and coagulation cascades","map04610"
"258","Platelet activation","map04611"
"259","Antigen processing and presentation","map04612"
"260","Renin-angiotensin system","map04614"
"261","Toll-like receptor signaling pathway","map04620"
"262","NOD-like receptor signaling pathway","map04621"
"263","RIG-I-like receptor signaling pathway","map04622"
"264","Cytosolic DNA-sensing pathway","map04623"
"265","Plant-pathogen interaction","map04626"
"266","Jak-STAT signaling pathway","map04630"
"267","Hematopoietic cell lineage","map04640"
"268","Natural killer cell mediated cytotoxicity","map04650"
"269","T cell receptor signaling pathway","map04660"
"270","B cell receptor signaling pathway","map04662"
"271","Fc epsilon RI signaling pathway","map04664"
"272","Fc gamma R-mediated phagocytosis","map04666"
"273","TNF signaling pathway","map04668"
"274","Leukocyte transendothelial migration","map04670"
"275","Intestinal immune network for IgA production","map04672"
"276","Circadian rhythm","map04710"
"277","Circadian rhythm - fly","map04711"
"278","Circadian rhythm - plant","map04712"
"279","Circadian entrainment","map04713"
"280","Long-term potentiation","map04720"
"281","Synaptic vesicle cycle","map04721"
"282","Neurotrophin signaling pathway","map04722"
"283","Retrograde endocannabinoid signaling","map04723"
"284","Glutamatergic synapse","map04724"
"285","Cholinergic synapse","map04725"
"286","Serotonergic synapse","map04726"
"287","GABAergic synapse","map04727"
"288","Dopaminergic synapse","map04728"
"289","Long-term depression","map04730"
"290","Olfactory transduction","map04740"
"291","Taste transduction","map04742"
"292","Phototransduction","map04744"
"293","Phototransduction - fly","map04745"
"294","Inflammatory mediator regulation of TRP channels","map04750"
"295","Regulation of actin cytoskeleton","map04810"
"296","Insulin signaling pathway","map04910"
"297","Insulin secretion","map04911"
"298","GnRH signaling pathway","map04912"
"299","Ovarian steroidogenesis","map04913"
"300","Progesterone-mediated oocyte maturation","map04914"
"301","Estrogen signaling pathway","map04915"
"302","Melanogenesis","map04916"
"303","Prolactin signaling pathway","map04917"
"304","Thyroid hormone synthesis","map04918"
"305","Thyroid hormone signaling pathway","map04919"
"306","Adipocytokine signaling pathway","map04920"
"307","Oxytocin signaling pathway","map04921"
"308","Type II diabetes mellitus","map04930"
"309","Non-alcoholic fatty liver disease (NAFLD)","map04932"
"310","Type I diabetes mellitus","map04940"
"311","Maturity onset diabetes of the young","map04950"
"312","Aldosterone-regulated sodium reabsorption","map04960"
"313","Endocrine and other factor-regulated calcium reabsorption","map04961"
"314","Vasopressin-regulated water reabsorption","map04962"
"315","Proximal tubule bicarbonate reclamation","map04964"
"316","Collecting duct acid secretion","map04966"
"317","Salivary secretion","map04970"
"318","Gastric acid secretion","map04971"
"319","Pancreatic secretion","map04972"
"320","Carbohydrate digestion and absorption","map04973"
"321","Protein digestion and absorption","map04974"
"322","Fat digestion and absorption","map04975"
"323","Bile secretion","map04976"
"324","Vitamin digestion and absorption","map04977"
"325","Mineral absorption","map04978"
"326","Alzheimer's disease","map05010"
"327","Parkinson's disease","map05012"
"328","Amyotrophic lateral sclerosis (ALS)","map05014"
"329","Huntington's disease","map05016"
"330","Prion diseases","map05020"
"331","Cocaine addiction","map05030"
"332","Amphetamine addiction","map05031"
"333","Morphine addiction","map05032"
"334","Nicotine addiction","map05033"
"335","Alcoholism","map05034"
"336","Bacterial invasion of epithelial cells","map05100"
"337","Vibrio cholerae infection","map05110"
"338","Vibrio cholerae pathogenic cycle","map05111"
"339","Epithelial cell signaling in Helicobacter pylori infection","map05120"
"340","Pathogenic Escherichia coli infection","map05130"
"341","Shigellosis","map05131"
"342","Salmonella infection","map05132"
"343","Pertussis","map05133"
"344","Legionellosis","map05134"
"345","Leishmaniasis","map05140"
"346","Chagas disease (American trypanosomiasis)","map05142"
"347","African trypanosomiasis","map05143"
"348","Malaria","map05144"
"349","Toxoplasmosis","map05145"
"350","Amoebiasis","map05146"
"351","Staphylococcus aureus infection","map05150"
"352","Tuberculosis","map05152"
"353","Hepatitis C","map05160"
"354","Hepatitis B","map05161"
"355","Measles","map05162"
"356","Influenza A","map05164"
"357","HTLV-I infection","map05166"
"358","Herpes simplex infection","map05168"
"359","Epstein-Barr virus infection","map05169"
"360","Pathways in cancer","map05200"
"361","Transcriptional misregulation in cancer","map05202"
"362","Viral carcinogenesis","map05203"
"363","Chemical carcinogenesis","map05204"
"364","Proteoglycans in cancer","map05205"
"365","MicroRNAs in cancer","map05206"
"366","Colorectal cancer","map05210"
"367","Renal cell carcinoma","map05211"
"368","Pancreatic cancer","map05212"
"369","Endometrial cancer","map05213"
"370","Glioma","map05214"
"371","Prostate cancer","map05215"
"372","Thyroid cancer","map05216"
"373","Basal cell carcinoma","map05217"
"374","Melanoma","map05218"
"375","Bladder cancer","map05219"
"376","Chronic myeloid leukemia","map05220"
"377","Acute myeloid leukemia","map05221"
"378","Small cell lung cancer","map05222"
"379","Non-small cell lung cancer","map05223"
"380","Central carbon metabolism in cancer","map05230"
"381","Choline metabolism in cancer","map05231"
"382","Asthma","map05310"
"383","Autoimmune thyroid disease","map05320"
"384","Inflammatory bowel disease (IBD)","map05321"
"385","Systemic lupus erythematosus","map05322"
"386","Rheumatoid arthritis","map05323"
"387","Allograft rejection","map05330"
"388","Graft-versus-host disease","map05332"
"389","Primary immunodeficiency","map05340"
"390","Hypertrophic cardiomyopathy (HCM)","map05410"
"391","Arrhythmogenic right ventricular cardiomyopathy (ARVC)","map05412"
"392","Dilated cardiomyopathy","map05414"
"393","Viral myocarditis","map05416"
"394","Penicillins","map07011"
"395","Cephalosporins - parenteral agents","map07012"
"396","Cephalosporins - oral agents","map07013"
"397","Quinolones","map07014"
"398","Local analgesics","map07015"
"399","Sulfonamide derivatives - sulfa drugs","map07016"
"400","Sulfonamide derivatives - diuretics","map07017"
"401","Sulfonamide derivatives - hypoglycemic agents","map07018"
"402","Tetracyclines","map07019"
"403","Macrolides and ketolides","map07020"
"404","Aminoglycosides","map07021"
"405","Rifamycins","map07023"
"406","HMG-CoA reductase inhibitors","map07024"
"407","Quinolines","map07025"
"408","Antifungal agents","map07026"
"409","Antidepressants","map07027"
"410","Antipsychotics","map07028"
"411","Phenothiazines","map07029"
"412","Anxiolytics","map07030"
"413","Butyrophenones","map07031"
"414","Hypnotics","map07032"
"415","Anticonvulsants","map07033"
"416","Eicosanoids","map07034"
"417","Prostaglandins","map07035"
"418","Calcium channel blocking drugs","map07036"
"419","Antiarrhythmic drugs","map07037"
"420","Antiulcer drugs","map07038"
"421","Opioid analgesics","map07039"
"422","Antineoplastics - alkylating agents","map07040"
"423","Antineoplastics - antimetabolic agents","map07041"
"424","Antineoplastics - agents from natural products","map07042"
"425","Antineoplastics - hormones","map07043"
"426","Antiviral agents","map07044"
"427","Antineoplastics - protein kinases inhibitors","map07045"
"428","Immunosuppressive agents","map07046"
"429","Osteoporosis drugs","map07047"
"430","Antimigraines","map07048"
"431","Antithrombosis agents","map07049"
"432","Antirheumatics - DMARDs and biological agents","map07050"
"433","Antidiabetics","map07051"
"434","Antidyslipidemic agents","map07052"
"435","Anti-HIV agents","map07053"
"436","Antiglaucoma agents","map07054"
"437","Sulfonamide derivatives - overview","map07055"
"438","Agents for Alzheimer-type dementia","map07056"
"439","Antiparkinsonian agents","map07057"
"440","Benzoic acid family","map07110"
"441","1,2-Diphenyl substitution family","map07112"
"442","Naphthalene family","map07114"
"443","Benzodiazepine family","map07117"
"444","Serotonin receptor agonists/antagonists","map07211"
"445","Histamine H1 receptor antagonists","map07212"
"446","Dopamine receptor agonists/antagonists","map07213"
"447","beta-Adrenergic receptor agonists/antagonists","map07214"
"448","alpha-Adrenergic receptor agonists/antagonists","map07215"
"449","Catecholamine transferase inhibitors","map07216"
"450","Renin-angiotensin system inhibitors","map07217"
"451","HIV protease inhibitors","map07218"
"452","Cyclooxygenase inhibitors","map07219"
"453","Cholinergic and anticholinergic drugs","map07220"
"454","Nicotinic cholinergic receptor antagonists","map07221"
"455","Peroxisome proliferator-activated receptor (PPAR) agonists","map07222"
"456","Retinoic acid receptor (RAR) and retinoid X receptor (RXR) agonists/antagonists","map07223"
"457","Opioid receptor agonists/antagonists","map07224"
"458","Glucocorticoid and meneralocorticoid receptor agonists/antagonists","map07225"
"459","Progesterone, androgen and estrogen receptor agonists/antagonists","map07226"
"460","Histamine H2/H3 receptor agonists/antagonists","map07227"
"461","Eicosanoid receptor agonists/antagonists","map07228"
"462","Angiotensin receptor and endothelin receptor antagonists","map07229"
"463","GABA-A receptor agonists/antagonists","map07230"
"464","Sodium channel blocking drugs","map07231"
"465","Potassium channel blocking and opening drugs","map07232"
"466","Ion transporter inhibitors","map07233"
"467","Neurotransmitter transporter inhibitors","map07234"
"468","N-Metyl-D-aspartic acid receptor antagonists","map07235"
