"KEGG ID","Names","chEBI","Occurence"
"C00029","UDP-glucose|UDPglucose|UDP-D-glucose|Uridine diphosphate glucose|UDP-alpha-D-glucose","18066|46229","165"
"C00030","Reduced acceptor|AH2|Hydrogen-donor|Donor","17499","226"
"C00031","D-Glucose|Grape sugar|Dextrose|Glucose|D-Glucopyranose","4167","111"
"C00032","Heme|Haem|Protoheme|Heme B|Protoheme IX","17627|26355","11"
"C00033","Acetate|Acetic acid|Ethanoic acid","15366","129"
"C00034","Manganese","18291","0"
"C00035","GDP|Guanosine 5'-diphosphate|Guanosine diphosphate","17552","52"
"C00036","Oxaloacetate|Oxalacetic acid|Oxaloacetic acid|2-Oxobutanedioic acid|2-Oxosuccinic acid|keto-Oxaloacetate","30744","44"
"C00037","Glycine|Aminoacetic acid|Gly","15428","63"
"C00038","Zinc cation|Zn2+|Zn(II)|Zinc ion","27363|29105","0"
"C00039","DNA|DNAn|DNAn+1|(Deoxyribonucleotide)n|(Deoxyribonucleotide)m|(Deoxyribonucleotide)n+m|Deoxyribonucleic acid","16991","19"
"C00040","Acyl-CoA|Acyl coenzyme A","17984","47"
"C00041","L-Alanine|L-2-Aminopropionic acid|L-alpha-Alanine","16977","43"
"C00042","Succinate|Succinic acid|Butanedionic acid|Ethylenesuccinic acid","15741","135"
"C00043","UDP-N-acetyl-alpha-D-glucosamine|UDP-N-acetyl-D-glucosamine|UDP-N-acetylglucosamine","16264","54"
"C00044","GTP|Guanosine 5'-triphosphate","15996","40"
"C00045","Amino acid|Amino acids","33704","8"
"C00046","RNA|RNAn|RNAn+1|RNA(linear)|(Ribonucleotide)n|(Ribonucleotide)m|(Ribonucleotide)n+m|Ribonucleic acid","18273","24"
"C00047","L-Lysine|Lysine acid|2,6-Diaminohexanoic acid","18019","38"
"C00048","Glyoxylate|Glyoxalate|Glyoxylic acid","16891","47"
"C00049","L-Aspartate|L-Aspartic acid|2-Aminosuccinic acid|L-Asp","17053","39"
"C00050","Metal","33521","0"
"C00051","Glutathione|5-L-Glutamyl-L-cysteinylglycine|N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine|gamma-L-Glutamyl-L-cysteinyl-glycine|GSH|Reduced glutathione","16856","78"
"C00052","UDP-alpha-D-galactose|UDP-D-galactose|UDP-galactose|UDP-D-galactopyranose|UDP-alpha-D-galactopyranose","18307|67119","49"
"C00053","3'-Phosphoadenylyl sulfate|3'-Phosphoadenosine 5'-phosphosulfate|3'-Phospho-5'-adenylyl sulfate|PAPS","17980","59"
"C00054","Adenosine 3',5'-bisphosphate|PAP|3'-Phosphoadenylate|Phosphoadenosine phosphate","17985","61"
"C00055","CMP|Cytidine-5'-monophosphate|Cytidylic acid","17361","75"
"C00058","Formate|Methanoic acid|Formic acid","15740|30751","73"
"C00059","Sulfate|Sulfuric acid","16189|26836","42"
"C00060","Carboxylate|R-COOH|Monocarboxylate|Carboxylic acid","35757","46"
"C00061","FMN|Riboflavin-5-phosphate|Flavin mononucleotide","17621","24"
"C00062","L-Arginine|(S)-2-Amino-5-guanidinovaleric acid|L-Arg","16467","29"
"C00063","CTP|Cytidine 5'-triphosphate|Cytidine triphosphate","17677","41"
"C00064","L-Glutamine|L-2-Aminoglutaramic acid","18050","41"
"C00065","L-Serine|L-2-Amino-3-hydroxypropionic acid|L-3-Hydroxy-alanine|Serine","17115","32"
"C00066","tRNA|tRNA(n)|tRNA(n+1)|transfer RNA","17843","6"
"C00067","Formaldehyde|Methanal|Oxomethane|Oxomethylene|Methylene oxide|Formalin","16842","77"
"C00068","Thiamin diphosphate|Thiamine diphosphate|Thiamin pyrophosphate|TPP|ThPP","9532","22"
"C00069","Alcohol","30879","21"
"C00070","Copper|Cu+|Cu2+|Cu(II)","28694","0"
"C00071","Aldehyde|RCHO","17478","27"
"C00072","Ascorbate|Ascorbic acid|L-Ascorbate|L-Ascorbic acid|Vitamin C","29073|38290","23"
"C00073","L-Methionine|Methionine|L-2-Amino-4methylthiobutyric acid","16643","48"
"C00074","Phosphoenolpyruvate|Phosphoenolpyruvic acid|PEP","18021|44897","32"
"C00075","UTP|Uridine 5'-triphosphate|Uridine triphosphate","15713","25"
"C00076","Calcium cation|Ca2+|Calcium(2+)|Calcium ion","29108","0"
"C00077","L-Ornithine|(S)-2,5-Diaminovaleric acid|(S)-2,5-Diaminopentanoic acid|(S)-2,5-Diaminopentanoate","15729","21"
"C00078","L-Tryptophan|Tryptophan|(S)-alpha-Amino-beta-(3-indolyl)-propionic acid","16828","25"
"C00079","L-Phenylalanine|(S)-alpha-Amino-beta-phenylpropionic acid","17295","30"
"C00080","H+|Hydron","15378","2276"
"C00081","ITP|Inosine 5'-triphosphate|Inosine triphosphate|Inosine tripolyphosphate","16039","19"
"C00082","L-Tyrosine|(S)-3-(p-Hydroxyphenyl)alanine|(S)-2-Amino-3-(p-hydroxyphenyl)propionic acid|Tyrosine","17895","31"
"C00083","Malonyl-CoA|Malonyl coenzyme A","15531","85"
"C00084","Acetaldehyde|Ethanal","15343","43"
"C00085","D-Fructose 6-phosphate|D-Fructose 6-phosphoric acid|Neuberg ester","15946|61553","25"
"C00086","Urea|Carbamide","16199","22"
"C00087","Sulfur|S|Elemental sulfur","17909|26833","10"
"C00088","Nitrite","16301|25567","39"
"C00089","Sucrose|Cane sugar|Saccharose|1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside","17992","21"
"C00090","Catechol|1,2-Benzenediol|o-Benzenediol|1,2-Dihydroxybenzene|Brenzcatechin|Pyrocatechol","18135","23"
"C00091","Succinyl-CoA|Succinyl coenzyme A","15380","30"
"C00092","D-Glucose 6-phosphate|Glucose 6-phosphate|Robison ester","4170","30"
"C00093","sn-Glycerol 3-phosphate|Glycerophosphoric acid|D-Glycerol 1-phosphate","15978","25"
"C00094","Sulfite|Sulfurous acid","48854","41"
"C00095","D-Fructose|Levulose|Fruit sugar|D-arabino-Hexulose","15824|37721","38"
"C00096","GDP-mannose|GDP-D-mannose|GDP-alpha-D-mannose","15820","26"
"C00097","L-Cysteine|L-2-Amino-3-mercaptopropionic acid","17561","43"
"C00098","Oligopeptide","25676","0"
"C00099","beta-Alanine|3-Aminopropionic acid|3-Aminopropanoate","16958","26"
"C00100","Propanoyl-CoA|Propionyl-CoA|Propionyl coenzyme A","15539","30"
"C00101","Tetrahydrofolate|5,6,7,8-Tetrahydrofolate|Tetrahydrofolic acid|THF|(6S)-Tetrahydrofolate|(6S)-Tetrahydrofolic acid|(6S)-THFA","15635|20506","36"
"C00102","2,6-Dichloroindophenol|2,6-Dichlorophenolindophenol|DCIP","945","0"
"C00103","D-Glucose 1-phosphate|alpha-D-Glucose 1-phosphate|Cori ester|D-Glucose alpha-1-phosphate","29042","40"
"C00104","IDP|Inosine 5'-diphosphate|Inosine diphosphate","17808","18"
"C00105","UMP|Uridylic acid|Uridine monophosphate|Uridine 5'-monophosphate|5'Uridylic acid","16695","34"
"C00106","Uracil","17568","15"
"C00107","Dipeptide","46761","0"
"C00108","Anthranilate|Anthranilic acid|o-Aminobenzoic acid|Vitamin L1|2-Aminobenzoate","30754","23"
"C00109","2-Oxobutanoate|2-Ketobutyric acid|2-Oxobutyric acid|2-Oxobutyrate|2-Oxobutanoic acid|alpha-Ketobutyric acid|alpha-Ketobutyrate","30831","19"
"C00110","Dolichyl phosphate|Dolichol phosphate","16214","16"
"C00111","Glycerone phosphate|Dihydroxyacetone phosphate|3-Hydroxy-2-oxopropyl phosphate","16108","28"
"C00112","CDP|Cytidine 5'-diphosphate|Cytidine diphosphate","17239","16"
"C00113","PQQ|Pyrrolo-quinoline quinone|Pyrroloquinoline-quinone|Pyrroloquinoline quinone|4,5-Dioxo-4,5-dihydro-1H-pyrrolo[2,3-f]quinoline-2,7,9-tricarboxylate|Methoxatin","18315","7"
"C00114","Choline|Bilineurine","15354","23"
"C00116","Glycerol|Glycerin|1,2,3-Trihydroxypropane|1,2,3-Propanetriol","17754","25"
"C00117","D-Ribose 5-phosphate|Ribose 5-phosphate","17797|52742","20"
"C00118","D-Glyceraldehyde 3-phosphate|(2R)-2-Hydroxy-3-(phosphonooxy)-propanal|Glyceraldehyde 3-phosphate","29052","32"
"C00119","5-Phospho-alpha-D-ribose 1-diphosphate|5-Phosphoribosyl diphosphate|5-Phosphoribosyl 1-pyrophosphate|PRPP","17111","24"
"C00120","Biotin|D-Biotin|Vitamin H|Coenzyme R","15956","10"
"C00121","D-Ribose","47013","19"
"C00122","Fumarate|Fumaric acid|trans-Butenedioic acid","18012","18"
"C00123","L-Leucine|2-Amino-4-methylvaleric acid|(2S)-alpha-2-Amino-4-methylvaleric acid|(2S)-alpha-Leucine","15603","8"
"C00124","D-Galactose|D-Galactopyranose","4139","44"
"C00125","Ferricytochrome c|Cytochrome c3+","15991","32"
"C00126","Ferrocytochrome c|Cytochrome c2+|Reduced cytochrome c","16928","32"
"C00127","Glutathione disulfide|GSSG|Oxiglutatione|Oxidized glutathione","17858","27"
"C00128","CMP-N-acetylneuraminate|CMP-N-acetyl-beta-neuraminate","16556","25"
"C00129","Isopentenyl diphosphate|delta3-Isopentenyl diphosphate|delta3-Methyl-3-butenyl diphosphate","16584","39"
"C00130","IMP|Inosinic acid|Inosine monophosphate|Inosine 5'-monophosphate|Inosine 5'-phosphate|5'-Inosinate|5'-Inosinic acid|5'-Inosine monophosphate|5'-IMP","17202","12"
"C00131","dATP|2'-Deoxyadenosine 5'-triphosphate|Deoxyadenosine 5'-triphosphate|Deoxyadenosine triphosphate","16284","13"
"C00132","Methanol|Methyl alcohol|CH3OH","17790","37"
"C00133","D-Alanine|D-2-Aminopropionic acid|D-Ala","15570","16"
"C00134","Putrescine|1,4-Butanediamine|1,4-Diaminobutane|Tetramethylenediamine|Butane-1,4-diamine","17148","21"
"C00135","L-Histidine|(S)-alpha-Amino-1H-imidazole-4-propionic acid","","17"
"C00136","Butanoyl-CoA|Butyryl-CoA","15517","16"
"C00137","myo-Inositol|D-myo-Inositol|1D-myo-Inositol|L-myo-Inositol|1L-myo-Inositol|meso-Inositol|Inositol|Dambose|Cyclohexitol|Meat sugar|Bios I","17268","22"
"C00138","Reduced ferredoxin","17513","59"
"C00139","Oxidized ferredoxin","17908","59"
"C00140","N-Acetyl-D-glucosamine|N-Acetylchitosamine|2-Acetamido-2-deoxy-D-glucose|GlcNAc","506227","24"
"C00141","3-Methyl-2-oxobutanoic acid|3-Methyl-2-oxobutyric acid|3-Methyl-2-oxobutanoate|2-Oxo-3-methylbutanoate|2-Oxoisovalerate|2-Oxoisopentanoate|alpha-Ketovaline|2-Ketovaline|2-Keto-3-methylbutyric acid","11851|16530","15"
"C00143","5,10-Methylenetetrahydrofolate|(6R)-5,10-Methylenetetrahydrofolate|5,10-Methylene-THF","1989","16"
"C00144","GMP|Guanosine 5'-phosphate|Guanosine monophosphate|Guanosine 5'-monophosphate|Guanylic acid","17345","18"
"C00145","Thiol|Mercaptan","29256","4"
"C00146","Phenol|Benzenol|Hydroxybenzene|Phenic acid|Phenylic acid","15882","11"
"C00147","Adenine|6-Aminopurine","16708","14"
"C00148","L-Proline|2-Pyrrolidinecarboxylic acid","17203","14"
"C00149","(S)-Malate|L-Malate|L-Apple acid|L-Malic acid|L-2-Hydroxybutanedioic acid|Malate|Malic acid","30797","14"
"C00150","Molybdenum","28685","0"
"C00151","L-Amino acid|L-2-Amino acid","15705","23"
"C00152","L-Asparagine|2-Aminosuccinamic acid","17196","10"
"C00153","Nicotinamide|Nicotinic acid amide|Niacinamide|Vitamin PP","17154","17"
"C00154","Palmitoyl-CoA|Hexadecanoyl-CoA","15525","19"
"C00155","L-Homocysteine|L-2-Amino-4-mercaptobutyric acid|Homocysteine","17588","17"
"C00156","4-Hydroxybenzoate|Hydroxybenzoic acid|4-Hydroxybenzoic acid|Hydroxybenzenecarboxylic acid","30763","26"
"C00157","Phosphatidylcholine|Lecithin|Phosphatidyl-N-trimethylethanolamine|1,2-Diacyl-sn-glycero-3-phosphocholine|Choline phosphatide|3-sn-Phosphatidylcholine","16110|49183","22"
"C00158","Citrate|Citric acid|2-Hydroxy-1,2,3-propanetricarboxylic acid|2-Hydroxytricarballylic acid","30769","9"
"C00159","D-Mannose|Mannose|Seminose|Carubinose","4208","26"
"C00160","Glycolate|Glycolic acid|Hydroxyacetic acid","17497","11"
"C00161","2-Oxo acid|2-Oxocarboxylate|2-Oxocarboxylic acid|2-Oxo carboxylate","35910","44"
"C00162","Fatty acid","35366","36"
"C00163","Propanoate|Propionate|Propanoic acid|Propionic acid","30768","8"
"C00164","Acetoacetate|3-Oxobutanoic acid|beta-Ketobutyric acid|Acetoacetic acid","13705|15344","14"
"C00165","Diacylglycerol|Diglyceride","18035","12"
"C00166","Phenylpyruvate|Phenylpyruvic acid|alpha-Ketohydrocinnamic acid|keto-Phenylpyruvate|3-Phenyl-2-oxopropanoate|2-Oxo-3-phenylpropanoate","30851","18"
"C00167","UDP-glucuronate|UDPglucuronate|UDP-D-glucuronate|UDP-alpha-D-glucuronate","17200","41"
"C00168","Hydroxypyruvate|Hydroxypyruvic acid|3-Hydroxypyruvate|3-Hydroxypyruvic acid","30841","8"
"C00169","Carbamoyl phosphate","17672","21"
"C00170","5'-Methylthioadenosine|Methylthioadenosine|S-Methyl-5'-thioadenosine|5-Methylthioadenosine|5'-Deoxy-5'-(methylthio)adenosine|Thiomethyladenosine|MTA","17509","23"
"C00171","5'-Phosphomononucleotide|5'-Nucleotide","37010","0"
"C00172","3'-Phosphooligonucleotide","","0"
"C00173","Acyl-[acyl-carrier protein]","16018","9"
"C00174","Acid","37527","1"
"C00175","Cobalt ion|Cobalt(2+)|Co2+|Co(II)","27638|48828","2"
"C00176","Flavin","30527","1"
"C00177","Cyanide ion|Prussiate|CN-|Cyano|Cyanide","17514","8"
"C00178","Thymine|5-Methyluracil","17821","8"
"C00179","Agmatine|(4-Aminobutyl) guanidine","17431","10"
"C00180","Benzoate|Benzoic acid|Benzenecarboxylic acid|Phenylformic acid|Dracylic acid","30746","22"
"C00181","D-Xylose|Wood sugar","15936|53455","8"
"C00182","Glycogen","28087","0"
"C00183","L-Valine|2-Amino-3-methylbutyric acid","16414","10"
"C00184","Glycerone|Dihydroxyacetone|1,3-Dihydroxyacetone|1,3-Dihydroxy-2-propanone|1,3-Dihydroxypropan-2-one","16016","8"
"C00185","Cellobiose|1-beta-D-Glucopyranosyl-4-D-glucopyranose","17057","10"
"C00186","(S)-Lactate|L-Lactate|L-Lactic acid","422","10"
"C00187","Cholesterol|Cholest-5-en-3beta-ol","16113","20"
"C00188","L-Threonine|2-Amino-3-hydroxybutyric acid","16857","10"
"C00189","Ethanolamine|Aminoethanol|2-Hydroxyethylamine","16000","15"
"C00190","UDP-D-xylose|UDP-xylose|UDP-alpha-D-xylose","16082","17"
"C00191","D-Glucuronate|Glucuronic acid|Glucuronate","4178|47952","20"
"C00192","Hydroxylamine|NH2OH","15429","12"
"C00193","Aromatic aldehyde","17169|33855","6"
"C00194","Cobamide coenzyme|Adenosylcobalamin|Adenosylcob(III)alamin|Deoxyadenosylcobalamin|Cobamamide|Vitamin B12 coenzyme|5,6-Dimethylbenzimidazolyl-5-deoxyadenosyl-cobamide|(5'-Deoxy-5'-adenosyl)cobamide coenzyme|(5,6-Dimethylbenzimidazolyl)cobamide coenzyme|alpha-(5,6-Dimethylbenzimidazolyl)cobamide coenzyme|5'-Deoxy-5'-adenosylcobalamin|5'-Deoxy-5'-adenosyl vitamin B12|5'-Deoxy-5'-adenosyl-5,6-dimethylbenzimidazolylcobamide|5,6-Dimethylbenzimidazolyl-Co-5'-deoxy-5'-adenosylcobamide|Calomide|Cobalamin coenzyme|Coenzyme B12|DMBC coenzyme|Dibencozide|Funacomide","18408","2"
"C00195","N-Acylsphingosine|Ceramide","17761|52639","21"
"C00196","2,3-Dihydroxybenzoate|2,3-Dihydroxybenzoic acid","18026","8"
"C00197","3-Phospho-D-glycerate|D-Glycerate 3-phosphate|3-Phospho-(R)-glycerate|3-Phosphoglycerate","17794","19"
"C00198","D-Glucono-1,5-lactone|Gluconic lactone|Gluconic acid lactone|1,5-Gluconolactone|delta-Gluconolactone|D-Gluconolactone|Gluconolactone","16217","11"
"C00199","D-Ribulose 5-phosphate","17363","12"
"C00200","Phenazine methosulfate|N-Methylphenazonium methosulfate|5-Methylphenazinium methyl sulphate","8055","0"
"C00201","Nucleoside triphosphate|NTP|Nucleoside 5'-triphosphate","17326","12"
"C00202","Isoflurophate|Diisopropyl fluorophosphate|DFP","17941","1"
"C00203","UDP-N-acetyl-D-galactosamine|UDP-N-acetyl-alpha-D-galactosamine","67168","19"
"C00204","2-Dehydro-3-deoxy-D-gluconate|2-Keto-3-deoxy-D-gluconate","17032","9"
"C00205","hn|Light|Photon|hnu","30212","15"
"C00206","dADP|2'-Deoxyadenosine 5'-diphosphate","16174","12"
"C00207","Acetone|Dimethyl ketone|2-Propanone","15347","13"
"C00208","Maltose|Malt sugar|alpha-D-Glucopyranosyl-(1->4)-D-glucopyranose","17306","10"
"C00209","Oxalate|Oxalic acid|Ethanedioic acid","16995","12"
"C00210","Cobamide","3796","0"
"C00211","Collagen","3815","0"
"C00212","Adenosine","16335","11"
"C00213","Sarcosine|N-Methylglycine","15611","11"
"C00214","Thymidine|Deoxythymidine","17748","6"
"C00215","Nucleotide","36976","4"
"C00216","D-Arabinose","17108|46994","5"
"C00217","D-Glutamate|D-Glutamic acid|D-Glutaminic acid|D-2-Aminoglutaric acid","15966","12"
"C00218","Methylamine|Methanamine","16830","22"
"C00219","Arachidonate|Arachidonic acid|(5Z,8Z,11Z,14Z)-Icosatetraenoic acid|cis-5,8,11,14-Eicosatetraenoic acid","15843","22"
"C00220","Methylene blue|Methylthioninium chloride","6872","0"
"C00221","beta-D-Glucose","15903","20"
"C00222","3-Oxopropanoate|Malonate semialdehyde","17960","16"
"C00223","p-Coumaroyl-CoA|4-Coumaroyl-CoA|4-Hydroxycinnamoyl-CoA","15499","29"
"C00224","Adenylyl sulfate|Adenosine 5'-phosphosulfate|APS|5'-Adenylyl sulfate","17709","11"
"C00225","Methyl viologen|Paraquat dichloride|1,1'-Dimethyl-4,4'-bipyridinium dichloride","28786","0"
"C00226","Primary alcohol|1-Alcohol","15734","9"
"C00227","Acetyl phosphate","15350","12"
"C00229","Acyl-carrier protein|ACP|[Acyl-carrier protein]|Holo-[acyl-carrier protein]","18359","54"
"C00230","3,4-Dihydroxybenzoate|3,4-Dihydroxybenzoic acid|Protocatechuate|Protocatechuic acid","36062|36241","18"
"C00231","D-Xylulose 5-phosphate","16332","10"
"C00232","Succinate semialdehyde|Succinic semialdehyde|4-Oxobutanoate","16265","16"
"C00233","4-Methyl-2-oxopentanoate|2-Oxoisocaproate","48430","8"
"C00234","10-Formyltetrahydrofolate|10-Formyl-THF","15637","9"
"C00235","Dimethylallyl diphosphate|2-Isopentenyl diphosphate|delta2-Isopentenyl diphosphate|Dimethylallyl pyrophosphate|DMAPP|Monoprenyl diphosphate|Prenyl diphosphate","16057","35"
"C00236","3-Phospho-D-glyceroyl phosphate|1,3-Bisphospho-D-glycerate|(R)-2-Hydroxy-3-(phosphonooxy)-1-monoanhydride with phosphoric propanoic acid|D-Glycerate 1,3-diphosphate","16001","8"
"C00237","CO|Carbon monoxide","17245","21"
"C00238","Potassium cation|K+|Potassium(1+)|Potassium ion","29103","0"
"C00239","dCMP|Deoxycytidylic acid|Deoxycytidine monophosphate|Deoxycytidylate|2'-Deoxycytidine 5'-monophosphate","15918","9"
"C00240","rRNA|Ribosomal RNA","18111","2"
"C00241","Amide","32988","2"
"C00242","Guanine|2-Amino-6-hydroxypurine","16235","7"
"C00243","Lactose|1-beta-D-Galactopyranosyl-4-D-glucopyranose|beta-D-Gal-(1->4)-D-Glc|Milk sugar","17716|36219","6"
"C00244","Nitrate|Nitric acid","48107","13"
"C00245","Taurine|2-Aminoethanesulfonic acid|Aminoethylsulfonic acid","15891","15"
"C00246","Butanoic acid|Butanoate|Butyrate|Butyric acid","30772","8"
"C00247","L-Sorbose|L-xylo-Hexulose","48649","9"
"C00248","Lipoamide|Thioctic acid amide","17460","1"
"C00249","Hexadecanoic acid|Hexadecanoate|Hexadecylic acid|Palmitic acid|Palmitate|Cetylic acid","15756","10"
"C00250","Pyridoxal","17310","10"
"C00251","Chorismate|Chorismic acid|(3R,4R)-3-[(1-Carboxyethenyl)oxy]-4-hydroxycyclohexa-1,5-diene-1-carboxylate","17333","13"
"C00252","Isomaltose|Brachiose","28189","1"
"C00253","Nicotinate|Nicotinic acid|Niacin|3-Pyridinecarboxylic acid","15940","18"
"C00254","Prephenate|Prephenic acid","84387","6"
"C00255","Riboflavin|Lactoflavin|7,8-Dimethyl-10-ribitylisoalloxazine|Vitamin B2","17015","9"
"C00256","(R)-Lactate|D-Lactate|D-Lactic acid|D-2-Hydroxypropanoic acid|D-2-Hydroxypropionic acid","42111","11"
"C00257","D-Gluconic acid|D-Gluconate|D-gluco-Hexonic acid","33198","9"
"C00258","D-Glycerate|Glycerate|(R)-Glycerate|Glyceric acid","32398","18"
"C00259","L-Arabinose|L-Arabinopyranose","17535","9"
"C00261","Benzaldehyde|Benzoic aldehyde","17169","7"
"C00262","Hypoxanthine|Purine-6-ol","17368","10"
"C00263","L-Homoserine|2-Amino-4-hydroxybutyric acid","15699","6"
"C00264","3-Oxoacyl-CoA","15489","5"
"C00265","Dithiothreitol|1,4-Dithiothreitol|threo-1,4-Dimercapto-2,3-butanediol|DL-threo-1,4-Dimercapto-2,3-butanediol","18320|42106","5"
"C00266","Glycolaldehyde|Hydroxyacetaldehyde","17071","9"
"C00267","alpha-D-Glucose","17925","26"
"C00268","Dihydrobiopterin|6,7-Dihydrobiopterin|Quinoid-dihydrobiopterin|(6R)-6-(L-erythro-1,2-Dihydroxypropyl)-7,8-dihydro-6H-pterin","","9"
"C00269","CDP-diacylglycerol|CDP-1,2-diacylglycerol|1,2-Diacyl-sn-glycero-3-cytidine-5'-diphosphate","17962","8"
"C00270","N-Acetylneuraminate|N-Acetylneuraminic acid|5-Acetamido-3,5-dideoxy-D-glycero-D-galacto-2-nonulosonic acid|Neu5Ac","17012","23"
"C00272","Tetrahydrobiopterin|5,6,7,8-Tetrahydrobiopterin|2-Amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydoro-4(1H)-pteridinone|L-erythro-Tetrahydrobiopterin","15372|59560","15"
"C00273","5-Dehydro-D-fructose","17011","6"
"C00275","D-Mannose 6-phosphate","17369|48066","10"
"C00279","D-Erythrose 4-phosphate","48153","9"
"C00280","Androstenedione|Androst-4-ene-3,17-dione|4-Androstene-3,17-dione","16422","18"
"C00282","Hydrogen|H2","18276","14"
"C00283","Hydrogen sulfide|Hydrogen-sulfide|H2S|Sulfide","16136","37"
"C00284","EDTA|Ethylenediaminetetraacetic acid|Edetic acid","42191","0"
"C00286","dGTP|2'-Deoxyguanosine 5'-triphosphate|Deoxyguanosine 5'-triphosphate|Deoxyguanosine triphosphate","16497","9"
"C00288","HCO3-|Bicarbonate|Hydrogencarbonate|Acid carbonate","17544","20"
"C00290","Fibrin","5054","0"
"C00291","Nickel","28112","0"
"C00292","Aniline|Phenylamine|Benzenamine|Arylamine","17296","9"
"C00294","Inosine","17596","7"
"C00295","Orotate|Orotic acid|Uracil-6-carboxylic acid","16742","5"
"C00296","Quinate|Quinic acid|Kinic acid|Chinic acid|L-Quinic acid|L-Quinate|(-)-Quinic acid","17521|29751","9"
"C00297","Sulfide|Thioether","16385","0"
"C00298","Trypsin|Trypsin crystallized","9765","0"
"C00299","Uridine","16704","15"
"C00300","Creatine|alpha-Methylguanidino acetic acid|Methylglycocyamine","16919","5"
"C00301","ADP-ribose|ADP-D-ribose|Adenosine diphosphate ribose","16960","8"
"C00302","Glutamate|Glutaminic acid|2-Aminoglutaric acid","18237","2"
"C00303","Glutamine|2-Aminoglutaramic acid","28300","0"
"C00304","Kanamycin","6104","0"
"C00305","Magnesium cation|Mg2+|Magnesium(2+)|Magnesium ion","18420","4"
"C00306","Bradykinin","3165","0"
"C00307","CDP-choline|Cytidine 5'-diphosphocholine|Citicoline","16436","8"
"C00308","Canavanine|L-Canavanine|2-Amino-4-(guanidinooxy)butyric acid","609827","0"
"C00309","D-Ribulose|D-erythro-2-Pentulose|D-Arabinoketose|D-Arabinulose|D-Riboketose","17173","7"
"C00310","D-Xylulose|D-threo-Pentulose|D-Lyxulose","17140","6"
"C00311","Isocitrate|Isocitric acid|1-Hydroxytricarballylic acid|1-Hydroxypropane-1,2,3-tricarboxylic acid","30887","7"
"C00312","L-Xylulose|L-threo-Pentulose|L-Lyxulose","17399","7"
"C00313","Oxalyl-CoA","15535","7"
"C00314","Pyridoxine|Pyridoxol","16709","9"
"C00315","Spermidine|N-(3-Aminopropyl)-1,4-butane-diamine","16610","17"
"C00317","Amylopectin","28057","0"
"C00318","L-Carnitine|L-gamma-Trimethyl-beta-hydroxybutyrobetaine|Vitamin BT|3-Carboxy-2-hydroxy-N,N,N-trimethyl-1-propanaminium hydroxide, inner salt|Levocarnitine|(R)-Carnitine","16347","6"
"C00319","Sphingosine|Sphingenine|Sphingoid|Sphing-4-enine","16393","8"
"C00320","Thiosulfate|Hyposulfite","33539|33541","14"
"C00322","2-Oxoadipate|2-Oxoadipic acid","15753","9"
"C00323","Caffeoyl-CoA","15518","17"
"C00324","Ferricyanide|Hexacyanoferrate(III)","5020","0"
